conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,cleaned_text
1875534619430547581,Sat Jan 04 14:40:28 +0000 2025,0,@Levi_JKT48 @AR_LanaJKT48 @CErine_JKT48 Buatlah kan kamu ratu jj nya,1875552884919824835,,Levi_JKT48,in,Lagi Rebahan,0,0,0,https://x.com/Frosssaaa/status/1875552884919824835,1270694217535250432,Frosssaaa,Buatlah kan kamu ratu jj nya
1875550451254575597,Sat Jan 04 14:40:27 +0000 2025,0,@Aralie_JKT48 malamm jugaa aralieee aku sukaa bangett sama vidio tiktok kamu kerenn kapan ostt lagi yg full nyy gn jugaaa araliee ,1875552881878909359,,Aralie_JKT48,in,Bumi,0,0,0,https://x.com/igunneeee/status/1875552881878909359,1862061890245120000,igunneeee,malamm jugaa aralieee aku sukaa bangett sama vidio tiktok kamu kerenn kapan ostt lagi yg full nyy gn jugaaa araliee
1875552441338622265,Sat Jan 04 14:40:25 +0000 2025,0,@Levi_JKT48 ditunggu lepihh #LeVlog nyaa aku suda tydak sabarh,1875552871602934153,,Levi_JKT48,in,misel lepia,0,0,0,https://x.com/bakonory/status/1875552871602934153,1410382810943156226,bakonory,ditunggu lepihh nyaa aku suda tydak sabarh
1875534619430547581,Sat Jan 04 14:40:23 +0000 2025,0,@Levi_JKT48 @AR_LanaJKT48 @CErine_JKT48 Knp gk jogja istimewa aja soundnya,1875552865441415632,,Levi_JKT48,in,,0,0,0,https://x.com/irkhamm_/status/1875552865441415632,1776934650428182528,irkhamm_,Knp gk jogja istimewa aja soundnya
1875552861804962270,Sat Jan 04 14:40:22 +0000 2025,1,udah mam jangan lupa minum nyaa yakk @Delynn_JKT48 #IngatMinumDelynn,1875552861804962270,,,in,,0,0,0,https://x.com/AriobimoY/status/1875552861804962270,1218830663643648000,AriobimoY,udah mam jangan lupa minum nyaa yakk
1875550451254575597,Sat Jan 04 14:40:22 +0000 2025,0,@Aralie_JKT48 Malam Ayayiiii hari ini aman aja! Aku libur jadi bisa santai di rumah... Sempet tidur siang juga ️ Oke nanti diliat vid nya Yap sekarang waktunya kamu istirahat lie semoga tidurmu nyenyak ya!! ,1875552861276532940,,Aralie_JKT48,in,Cilacap,0,0,0,https://x.com/kuwenimango/status/1875552861276532940,811786668009144320,kuwenimango,Malam Ayayiiii hari ini aman aja Aku libur jadi bisa santai di rumah Sempet tidur siang juga Oke nanti diliat vid nya Yap sekarang waktunya kamu istirahat lie semoga tidurmu nyenyak ya
1875529654062501984,Sat Jan 04 14:40:21 +0000 2025,0,@Nala_JKT48 Tanya oniel,1875552857199669653,,Nala_JKT48,in,,0,0,0,https://x.com/dododo_87/status/1875552857199669653,1427172897462775809,dododo_87,Tanya oniel
1875552441338622265,Sat Jan 04 14:40:17 +0000 2025,0,@Levi_JKT48 Syukur deh ditunggu upload nya Lev,1875552840506368140,,Levi_JKT48,in,Indonesia🇮🇩,0,0,0,https://x.com/Aldino_FP/status/1875552840506368140,1734887418606792704,Aldino_FP,Syukur deh ditunggu upload nya Lev
1875534619430547581,Sat Jan 04 14:40:17 +0000 2025,0,@Levi_JKT48 @AR_LanaJKT48 @CErine_JKT48 gausah,1875552837616427245,,Levi_JKT48,in,,0,0,0,https://x.com/zRNline/status/1875552837616427245,1777528769898856448,zRNline,gausah
1875552441338622265,Sat Jan 04 14:40:16 +0000 2025,0,@Levi_JKT48 Ditunggu upload nyaa,1875552833455657459,,Levi_JKT48,in,,0,0,0,https://x.com/Marinda_738/status/1875552833455657459,1489599516047122433,Marinda_738,Ditunggu upload nyaa
1875534619430547581,Sat Jan 04 14:40:14 +0000 2025,0,@CErine_JKT48 @AR_LanaJKT48 woilah,1875552824932851847,,CErine_JKT48,in,,0,0,0,https://x.com/ym_nazey/status/1875552824932851847,1435884411107504128,ym_nazey,woilah
1875552441338622265,Sat Jan 04 14:40:11 +0000 2025,0,@Levi_JKT48 syukur deh tinggal nunggu,1875552811813105980,,Levi_JKT48,in,,0,0,0,https://x.com/Rrrrrrrrrrizki/status/1875552811813105980,1799335345886216192,Rrrrrrrrrrizki,syukur deh tinggal nunggu
1875534619430547581,Sat Jan 04 14:40:05 +0000 2025,0,@Levi_JKT48 @AR_LanaJKT48 @CErine_JKT48 nggihhpunn manutt manut mawon,1875552788790571307,,Levi_JKT48,in,,0,0,0,https://x.com/apaeppo/status/1875552788790571307,1786045214769152000,apaeppo,nggihhpunn manutt manut mawon
1875552783627382916,Sat Jan 04 14:40:04 +0000 2025,3,Inget sih @Levi_JKT48 tapi dia ga inget aku https://t.co/E5UfwcBcZx,1875552783627382916,https://pbs.twimg.com/ext_tw_video_thumb/1875552531272933376/pu/img/Zf74ZIBZwjfusuoa.jpg,,in,"Depok, Indonesia",0,1,1,https://x.com/rizkyp8mei/status/1875552783627382916,78233280,rizkyp8mei,Inget sih tapi dia ga inget aku
1875534619430547581,Sat Jan 04 14:40:02 +0000 2025,0,@Levi_JKT48 @AR_LanaJKT48 @CErine_JKT48 banyak mau wkwk tuh ada request lagi @AR_LanaJKT48,1875552777105207476,,Levi_JKT48,in,,0,0,0,https://x.com/alreza200421111/status/1875552777105207476,1588173263179767809,alreza200421111,banyak mau wkwk tuh ada request lagi
1875534619430547581,Sat Jan 04 14:40:00 +0000 2025,0,@Levi_JKT48 @AR_LanaJKT48 @CErine_JKT48 puji dulu lah editannya,1875552769001845136,,Levi_JKT48,in,di rumah,0,0,0,https://x.com/Jnicecl/status/1875552769001845136,1554814498841583616,Jnicecl,puji dulu lah editannya
1875552441338622265,Sat Jan 04 14:40:00 +0000 2025,5,@Levi_JKT48 Aku udh can t waitt ayok dong up,1875552767194055098,,Levi_JKT48,in,,0,0,0,https://x.com/Le_ViosaID/status/1875552767194055098,1725782394928758784,Le_ViosaID,Aku udh can t waitt ayok dong up
1875534619430547581,Sat Jan 04 14:39:56 +0000 2025,0,@Levi_JKT48 @AR_LanaJKT48 @CErine_JKT48 Jangan,1875552751058612565,,Levi_JKT48,in,,0,0,0,https://x.com/Neyf_27/status/1875552751058612565,1780442491118067712,Neyf_27,Jangan
1875534619430547581,Sat Jan 04 14:39:56 +0000 2025,0,@Levi_JKT48 @AR_LanaJKT48 @CErine_JKT48 Gass lawan lagi wkwk,1875552750710440350,,Levi_JKT48,in,"Kota Palembang, Sumatera Selat",0,0,0,https://x.com/Novryan07/status/1875552750710440350,1445619998769106952,Novryan07,Gass lawan lagi wkwk
1875552441338622265,Sat Jan 04 14:39:28 +0000 2025,2,@Levi_JKT48 di tunggu vlog nya,1875552631353197043,,Levi_JKT48,in,,0,0,0,https://x.com/rffnfz/status/1875552631353197043,1453937233820413956,rffnfz,di tunggu vlog nya
1875552441338622265,Sat Jan 04 14:39:24 +0000 2025,0,@Levi_JKT48 alhamdulillah,1875552616966713510,,Levi_JKT48,in,Yogyakarta,0,0,0,https://x.com/yogsditya/status/1875552616966713510,1491600762795094016,yogsditya,alhamdulillah
1875552441338622265,Sat Jan 04 14:39:23 +0000 2025,0,@Levi_JKT48 gassa tinggl nonton,1875552611388289424,,Levi_JKT48,in,,0,0,0,https://x.com/pasukankaktuss/status/1875552611388289424,1655546140140662784,pasukankaktuss,gassa tinggl nonton
1875552441338622265,Sat Jan 04 14:39:23 +0000 2025,0,@Levi_JKT48 Lesgoo gak sabar liat hasilnya,1875552610218074341,,Levi_JKT48,in,,0,0,0,https://x.com/Nadelinevilamor/status/1875552610218074341,1785683638342004737,Nadelinevilamor,Lesgoo gak sabar liat hasilnya
1875542791553741227,Sat Jan 04 14:39:22 +0000 2025,0,@officialJKT48 Oke sekarang Setlist SnM versi JKT48 kapan rilis di platform musik?,1875552606665478455,,officialJKT48,in,"Kota Surabaya, Jawa Timur",0,0,0,https://x.com/_Mamatomodachi/status/1875552606665478455,1701081912117518336,_Mamatomodachi,Oke sekarang Setlist SnM versi JKT48 kapan rilis di platform musik
1875552441338622265,Sat Jan 04 14:39:21 +0000 2025,0,@Levi_JKT48 Kabarin nanti upload dimana yak,1875552603322642488,,Levi_JKT48,in,,0,0,0,https://x.com/RafiandraFS/status/1875552603322642488,744677899,RafiandraFS,Kabarin nanti upload dimana yak
1875552441338622265,Sat Jan 04 14:39:21 +0000 2025,0,@Levi_JKT48 syukur deh ditunggu upload nya,1875552602185986282,,Levi_JKT48,in,,0,0,0,https://x.com/alreza200421111/status/1875552602185986282,1588173263179767809,alreza200421111,syukur deh ditunggu upload nya
1875552441338622265,Sat Jan 04 14:39:18 +0000 2025,0,@Levi_JKT48 mw lihatttt,1875552592752968116,,Levi_JKT48,in,,0,0,0,https://x.com/ptrimelda_/status/1875552592752968116,1726933051706638336,ptrimelda_,mw lihatttt
1875552441338622265,Sat Jan 04 14:39:17 +0000 2025,0,@Levi_JKT48 Ayo upload!!! Aku akan menjadi penonton yg 0 5,1875552585836589092,,Levi_JKT48,in,"Depok, Jawa Barat",0,0,0,https://x.com/bayuuuppp/status/1875552585836589092,1194081814089854976,bayuuuppp,Ayo upload Aku akan menjadi penonton yg 0 5
1875552441338622265,Sat Jan 04 14:39:15 +0000 2025,0,@Levi_JKT48 ditunggu chell,1875552580262359493,,Levi_JKT48,in,,0,0,0,https://x.com/Bmrzki/status/1875552580262359493,1543978351605723136,Bmrzki,ditunggu chell
1875552441338622265,Sat Jan 04 14:39:15 +0000 2025,1,@Levi_JKT48 Upload sekarang,1875552576860778960,,Levi_JKT48,in,±709 - +113,0,1,0,https://x.com/alvintaufiqul27/status/1875552576860778960,1649731872526856197,alvintaufiqul27,Upload sekarang
1875552441338622265,Sat Jan 04 14:39:13 +0000 2025,0,@Levi_JKT48 Mantap nih,1875552571664015735,,Levi_JKT48,in, Bandung,0,0,0,https://x.com/muhaldii_/status/1875552571664015735,1738728086370443265,muhaldii_,Mantap nih
1875550451254575597,Sat Jan 04 14:39:13 +0000 2025,0,@Aralie_JKT48 MALAM ARALIE lumayan baik dan full ngantuk sihh ya abis ini langsung otww cek Selamat istirahat ,1875552570229584312,,Aralie_JKT48,in,,0,0,0,https://x.com/arnwndt11/status/1875552570229584312,1223073013442105344,arnwndt11,MALAM ARALIE lumayan baik dan full ngantuk sihh ya abis ini langsung otww cek Selamat istirahat
1875552441338622265,Sat Jan 04 14:39:13 +0000 2025,0,@Levi_JKT48 Manaaaa Aku sudah tidak sabar melihat #LeVlog,1875552568270843973,,Levi_JKT48,in,Lagi Rebahan,0,0,0,https://x.com/Frosssaaa/status/1875552568270843973,1270694217535250432,Frosssaaa,Manaaaa Aku sudah tidak sabar melihat
1875541096140505195,Sat Jan 04 14:39:12 +0000 2025,0,@davidjoe__ @Ekin_JKT48 ekin oshi sabar bgt,1875552567197151260,,davidjoe__,in,"Edinburgh, Scotland",0,0,0,https://x.com/micyeeel/status/1875552567197151260,1847680840849129472,micyeeel,ekin oshi sabar bgt
1875550451254575597,Sat Jan 04 14:39:11 +0000 2025,0,@Aralie_JKT48 Malam cantikk udh liat ko sukaaaa bngttt makasihhh yaaa selamat istirahat good night,1875552559907446995,,Aralie_JKT48,in,,0,0,0,https://x.com/_wndwlndri/status/1875552559907446995,1752994414019149824,_wndwlndri,Malam cantikk udh liat ko sukaaaa bngttt makasihhh yaaa selamat istirahat good night
1875552441338622265,Sat Jan 04 14:39:10 +0000 2025,2,@Levi_JKT48 Inii dia kpn upload nyaaa,1875552556946223584,,Levi_JKT48,in,,0,0,0,https://x.com/RizkyAlw/status/1875552556946223584,1348639620783697925,RizkyAlw,Inii dia kpn upload nyaaa
1875552441338622265,Sat Jan 04 14:39:10 +0000 2025,0,@Levi_JKT48 Mana cepat ,1875552556891697159,,Levi_JKT48,in,"Kota Palembang, Sumatera Selat",0,0,0,https://x.com/Novryan07/status/1875552556891697159,1445619998769106952,Novryan07,Mana cepat
1875552441338622265,Sat Jan 04 14:39:07 +0000 2025,0,@Levi_JKT48 di tunggu bg,1875552547135746336,,Levi_JKT48,in,,0,0,0,https://x.com/ym_nazey/status/1875552547135746336,1435884411107504128,ym_nazey,di tunggu bg
1875552441338622265,Sat Jan 04 14:39:07 +0000 2025,0,@Levi_JKT48 di tunggu,1875552543289507851,,Levi_JKT48,in,"Bogor Timur, Indonesia",0,0,0,https://x.com/akews_wah/status/1875552543289507851,1754955078191218688,akews_wah,di tunggu
1875534619430547581,Sat Jan 04 14:39:06 +0000 2025,0,@M_OlineJKT48 @AR_LanaJKT48 @CErine_JKT48 keren lah itu editan nya,1875552542903632326,,M_OlineJKT48,in,,0,0,0,https://x.com/sasasasa_21/status/1875552542903632326,1550730020804792320,sasasasa_21,keren lah itu editan nya
1875526161096446211,Sat Jan 04 14:39:06 +0000 2025,0,@Delynn_JKT48 Beli gas diwarung ipul GASFULL,1875552540663935184,,Delynn_JKT48,in,,0,0,0,https://x.com/Agungbagussa/status/1875552540663935184,582575933,Agungbagussa,Beli gas diwarung ipul GASFULL
1875534619430547581,Sat Jan 04 14:39:04 +0000 2025,452,@AR_LanaJKT48 @CErine_JKT48 aku pengen versi cing ciripit,1875552532942221426,,AR_LanaJKT48,in,,1,39,16,https://x.com/Levi_JKT48/status/1875552532942221426,1725200414822580227,Levi_JKT48,aku pengen versi cing ciripit
1875552441338622265,Sat Jan 04 14:39:03 +0000 2025,1,@Levi_JKT48 Puji tuhan sudah jadi tinggal nonton,1875552530153009656,,Levi_JKT48,in,,0,0,0,https://x.com/bassangbotto/status/1875552530153009656,71473754,bassangbotto,Puji tuhan sudah jadi tinggal nonton
1875552441338622265,Sat Jan 04 14:39:02 +0000 2025,0,@Levi_JKT48 Di tunggu ya lev,1875552526051033542,,Levi_JKT48,in,,0,0,0,https://x.com/Dayshie_o/status/1875552526051033542,1869012415385681923,Dayshie_o,Di tunggu ya lev
1875552441338622265,Sat Jan 04 14:39:02 +0000 2025,0,@Levi_JKT48 yeayyy segera inpokannnn,1875552525073707512,,Levi_JKT48,in,,0,0,0,https://x.com/arwnsyh48/status/1875552525073707512,1712984799009521664,arwnsyh48,yeayyy segera inpokannnn
1875552441338622265,Sat Jan 04 14:39:02 +0000 2025,0,@Levi_JKT48 Cihuy kapan d upldnya,1875552522347421791,,Levi_JKT48,in,"Cileungsi, Indonesia",0,0,0,https://x.com/ndu_wijaya/status/1875552522347421791,1654157407893987328,ndu_wijaya,Cihuy kapan d upldnya
1875552441338622265,Sat Jan 04 14:39:01 +0000 2025,0,@Levi_JKT48 Di tunggu ci ,1875552519629500767,,Levi_JKT48,in,,0,0,0,https://x.com/Reallance48/status/1875552519629500767,972798494313299968,Reallance48,Di tunggu ci
1875552441338622265,Sat Jan 04 14:39:00 +0000 2025,0,@Levi_JKT48 tak tunggu lev,1875552517201018945,,Levi_JKT48,in,,0,0,0,https://x.com/jwannnn99/status/1875552517201018945,1571522562336911369,jwannnn99,tak tunggu lev
1875552441338622265,Sat Jan 04 14:39:00 +0000 2025,0,@Levi_JKT48 syukur deh,1875552514621501841,,Levi_JKT48,in,,0,0,0,https://x.com/garg4rgarr/status/1875552514621501841,1614841509911867392,garg4rgarr,syukur deh
1875552441338622265,Sat Jan 04 14:39:00 +0000 2025,0,@Levi_JKT48 Yaudaah upload cepaatt,1875552514017522109,,Levi_JKT48,in,"Medan, Sumatera Utara",0,0,0,https://x.com/Rabbanyn24/status/1875552514017522109,867932712182599680,Rabbanyn24,Yaudaah upload cepaatt
